"time","powercon2.negFlow.y","powercon2.posFlow.y","powercon1.negFlow.y","powercon1.posFlow.y","der(powercon2.negFlow.y)","der(powercon2.posFlow.y)","der(powercon1.negFlow.y)","der(powercon1.posFlow.y)","signalsource1.pulse1.T0","signalsource1.pulse1.y","signalsource1.trapezoid1.T0","signalsource1.trapezoid1.y","signalsource1.sine1.y","signalsource1.add3.u2","signalsource1.add3.u1","signalsource1.y","powercon2.posPower.y","powercon2.negPower.y","powercon2.negPower.u","powercon2.y","eta1.switch1.u3","eta1.switch1.u1","powercon1.posPower.y","powercon1.negPower.y","powercon1.negPower.u","signalsource1.pulse1.T_width","signalsource1.trapezoid1.counter2","signalsource1.trapezoid1.counter","eta1.switch1.u2","eta1.const.y","signalsource1.const.y","powercon1.negFlow.u","powercon1.posFlow.u","powercon1.gain2.u","powercon1.posPower.u","powercon1.u","powercon1.gain2.y","eta1.gain2.y","eta1.gain1.y","eta1.gain1.u","eta1.gain2.u","eta1.greaterequal1.u1","eta1.switch1.y","eta1.greaterequal1.u2","powercon2.negFlow.u","powercon2.posFlow.u","powercon2.gain2.u","powercon2.posPower.u","powercon2.u","powercon2.gain2.y","signalsource1.add2.y","signalsource1.add1.y","signalsource1.add3.y","signalsource1.add2.u2","signalsource1.add2.u1","signalsource1.add1.u2","signalsource1.add1.u1","eta1.y","eta1.u","powercon1.y","eta1.greaterequal1.y",
0,0,0,0,0,1,0,1,0,0.25,0,0,0,0,0,-1,-1,0,1,1.111111111111111,-1.111111111111111,-1.111111111111111,-0.9,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.111111111111111,-0.9,-1,-1,-1,-1.111111111111111,0,1,0,-1.111111111111111,-1.111111111111111,-1.111111111111111,1.111111111111111,0,-1,-1,0,0,0,0,-1.111111111111111,-1,-1,0,
0,0,0,0,0,1,0,1,0,0.25,0,0,0,0,0,-1,-1,0,1,1.111111111111111,-1.111111111111111,-1.111111111111111,-0.9,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.111111111111111,-0.9,-1,-1,-1,-1.111111111111111,0,1,0,-1.111111111111111,-1.111111111111111,-1.111111111111111,1.111111111111111,0,-1,-1,0,0,0,0,-1.111111111111111,-1,-1,0,
7.450580596923829e-10,7.450580596923829e-10,0,7.450580596923829e-10,0,1,0,1,0,0.25,0,0,0,0,0,-1,-1,0,1,1.111111111111111,-1.111111111111111,-1.111111111111111,-0.9,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.111111111111111,-0.9,-1,-1,-1,-1.111111111111111,0,1,0,-1.111111111111111,-1.111111111111111,-1.111111111111111,1.111111111111111,0,-1,-1,0,0,0,0,-1.111111111111111,-1,-1,0,
0.1,0.1,0,0.1,0,1,0,1,0,0.25,0,0,0,0,0,-1,-1,0,1,1.111111111111111,-1.111111111111111,-1.111111111111111,-0.9,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.111111111111111,-0.9,-1,-1,-1,-1.111111111111111,0,1,0,-1.111111111111111,-1.111111111111111,-1.111111111111111,1.111111111111111,0,-1,-1,0,0,0,0,-1.111111111111111,-1,-1,0,
0.1,0.1,0,0.1,0,1,0,1,0,0.25,0,0,0,0,0,-1,-1,0,1,1.111111111111111,-1.111111111111111,-1.111111111111111,-0.9,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.111111111111111,-0.9,-1,-1,-1,-1.111111111111111,0,1,0,-1.111111111111111,-1.111111111111111,-1.111111111111111,1.111111111111111,0,-1,-1,0,0,0,0,-1.111111111111111,-1,-1,0,
0.1000000007450581,0.1000000007450581,0,0.1000000007450581,0,1,0,1,0,0.25,0,0,0,0,0,-1,-1,0,1,1.111111111111111,-1.111111111111111,-1.111111111111111,-0.9,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.111111111111111,-0.9,-1,-1,-1,-1.111111111111111,0,1,0,-1.111111111111111,-1.111111111111111,-1.111111111111111,1.111111111111111,0,-1,-1,0,0,0,0,-1.111111111111111,-1,-1,0,
0.2,0.2,0,0.2,0,1,0,1,0,0.25,0,0,0,0,0,-1,-1,0,1,1.111111111111111,-1.111111111111111,-1.111111111111111,-0.9,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.111111111111111,-0.9,-1,-1,-1,-1.111111111111111,0,1,0,-1.111111111111111,-1.111111111111111,-1.111111111111111,1.111111111111111,0,-1,-1,0,0,0,0,-1.111111111111111,-1,-1,0,
0.25,0.25,0,0.25,0,1,0,1,0,0.25,0,0,0,0,0,-1,-1,0,1,1.111111111111111,-1.111111111111111,-1.111111111111111,-0.9,0,1,1,0.5,-1,-1,0,0,0,1,0,-1,-1,-1,1,-1.111111111111111,-0.9,-1,-1,-1,-1.111111111111111,0,1,0,-1.111111111111111,-1.111111111111111,-1.111111111111111,1.111111111111111,0,-1,-1,0,0,0,0,-1.111111111111111,-1,-1,0,
0.25,0.25,0,0.25,0,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.25,0.25,0,0.25,0,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.25,0.25,0,0.25,0,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.2500000007450581,0.25,6.705522537231451e-10,0.25,7.450580596923835e-10,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.3,0.25,0.04500000000000001,0.25,0.05000000000000002,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.4,0.25,0.135,0.25,0.15,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.5,0.25,0.225,0.25,0.25,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.6,0.25,0.315,0.25,0.35,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.6,0.25,0.315,0.25,0.35,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.6000000007450581,0.25,0.3150000006705522,0.25,0.350000000745058,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.6999999992549419,0.25,0.4049999993294476,0.25,0.4499999992549418,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
0.7,0.25,0.4049999999999999,0.25,0.4499999999999999,0,0.9,0,1,0.25,2,0,0,0,2,-1,1,0.9,0,-0.9,0.9,1.111111111111111,0.9,1,0,-1,0.5,-1,-1,1,2,0,0,1,1,1,1,-1,1.111111111111111,0.9,1,1,1,0.9,2,0,0.9,0.9,0.9,0.9,-0.9,2,-1,1,0,2,0,0,0.9,1,1,1,
